session,status,source,destination,duplicate_of,note
15,move,assets/world-anvil/screenshots/Session 15/Session 15-01.webp,assets/world-anvil/screenshots/Session 15 - Anatomically Correct Barghest/Session 15-01.webp,,
15,move,assets/world-anvil/screenshots/Session 15/Session 15-02.webp,assets/world-anvil/screenshots/Session 15 - Anatomically Correct Barghest/Session 15-02.webp,,
15,move,assets/world-anvil/screenshots/Session 15/Session 15-03.webp,assets/world-anvil/screenshots/Session 15 - Anatomically Correct Barghest/Session 15-03.webp,,
15,move,assets/world-anvil/screenshots/Session 15/Session 15-04.webp,assets/world-anvil/screenshots/Session 15 - Anatomically Correct Barghest/Session 15-04.webp,,
15,move,assets/world-anvil/screenshots/Session 15/Session 15-05.webp,assets/world-anvil/screenshots/Session 15 - Anatomically Correct Barghest/Session 15-05.webp,,
15,move,assets/world-anvil/screenshots/Session 15/Session 15-06.webp,assets/world-anvil/screenshots/Session 15 - Anatomically Correct Barghest/Session 15-06.webp,,
15,move,assets/world-anvil/screenshots/Session 15/Session 15-07.webp,assets/world-anvil/screenshots/Session 15 - Anatomically Correct Barghest/Session 15-07.webp,,
15,move,assets/world-anvil/screenshots/Session 15/Session 15-08.webp,assets/world-anvil/screenshots/Session 15 - Anatomically Correct Barghest/Session 15-08.webp,,
15,move,assets/world-anvil/screenshots/Session 15/Session 15-09.png,assets/world-anvil/screenshots/Session 15 - Anatomically Correct Barghest/Session 15-09.png,,
16,move,assets/world-anvil/screenshots/Session 16/Session 16-01.png,assets/world-anvil/screenshots/Session 16 - Death to All Who Oppose Us/Session 16-01.png,,
16,move,assets/world-anvil/screenshots/Session 16/Session 16-02.png,assets/world-anvil/screenshots/Session 16 - Death to All Who Oppose Us/Session 16-02.png,,
16,move,assets/world-anvil/screenshots/Session 16/Session 16-03.png,assets/world-anvil/screenshots/Session 16 - Death to All Who Oppose Us/Session 16-03.png,,
16,move,assets/world-anvil/screenshots/Session 16/Session 16-04.png,assets/world-anvil/screenshots/Session 16 - Death to All Who Oppose Us/Session 16-04.png,,
16,move,assets/world-anvil/screenshots/Session 16/Session 16-05.png,assets/world-anvil/screenshots/Session 16 - Death to All Who Oppose Us/Session 16-05.png,,
16,move,assets/world-anvil/screenshots/Session 16/Session 16-06.png,assets/world-anvil/screenshots/Session 16 - Death to All Who Oppose Us/Session 16-06.png,,
16,move,assets/world-anvil/screenshots/Session 16/Session 16-07.png,assets/world-anvil/screenshots/Session 16 - Death to All Who Oppose Us/Session 16-07.png,,
16,move,assets/world-anvil/screenshots/Session 16/Session 16-08.png,assets/world-anvil/screenshots/Session 16 - Death to All Who Oppose Us/Session 16-08.png,,
16,move,assets/world-anvil/screenshots/Session 16/Session 16-09.png,assets/world-anvil/screenshots/Session 16 - Death to All Who Oppose Us/Session 16-09.png,,
17,move,assets/world-anvil/screenshots/Session 17/Session 17-01.png,assets/world-anvil/screenshots/Session 17 - Corruption in the Capitol/Session 17-01.png,,
17,move,assets/world-anvil/screenshots/Session 17/Session 17-03.png,assets/world-anvil/screenshots/Session 17 - Corruption in the Capitol/Session 17-03.png,,
17,move,assets/world-anvil/screenshots/Session 17/Session 17-04.png,assets/world-anvil/screenshots/Session 17 - Corruption in the Capitol/Session 17-04.png,,
17,move,assets/world-anvil/screenshots/Session 17/Session 17-05.png,assets/world-anvil/screenshots/Session 17 - Corruption in the Capitol/Session 17-05.png,,
18,move,assets/world-anvil/screenshots/Session 18/Session 18-01.png,assets/world-anvil/screenshots/Session 18 - I M Sailing Away/Session 18-01.png,,
18,move,assets/world-anvil/screenshots/Session 18/Session 18-02.png,assets/world-anvil/screenshots/Session 18 - I M Sailing Away/Session 18-02.png,,
18,move,assets/world-anvil/screenshots/Session 18/Session 18-03.png,assets/world-anvil/screenshots/Session 18 - I M Sailing Away/Session 18-03.png,,
18,move,assets/world-anvil/screenshots/Session 18/Session 18-04.png,assets/world-anvil/screenshots/Session 18 - I M Sailing Away/Session 18-04.png,,
18,move,assets/world-anvil/screenshots/Session 18/Session 18-05.png,assets/world-anvil/screenshots/Session 18 - I M Sailing Away/Session 18-05.png,,
18,move,assets/world-anvil/screenshots/Session 18/Session 18-06.png,assets/world-anvil/screenshots/Session 18 - I M Sailing Away/Session 18-06.png,,
18,move,assets/world-anvil/screenshots/Session 18/Session 18-07.png,assets/world-anvil/screenshots/Session 18 - I M Sailing Away/Session 18-07.png,,
18,move,assets/world-anvil/screenshots/Session 18/Session 18-08.png,assets/world-anvil/screenshots/Session 18 - I M Sailing Away/Session 18-08.png,,
18,move,assets/world-anvil/screenshots/Session 18/Session 18-09.png,assets/world-anvil/screenshots/Session 18 - I M Sailing Away/Session 18-09.png,,
19,move,assets/world-anvil/screenshots/Session 19/Session 19-01.png,assets/world-anvil/screenshots/Session 19 - The Kobolds the Iruxi and the Trolls/Session 19-01.png,,
19,move,assets/world-anvil/screenshots/Session 19/Session 19-02.png,assets/world-anvil/screenshots/Session 19 - The Kobolds the Iruxi and the Trolls/Session 19-02.png,,
19,move,assets/world-anvil/screenshots/Session 19/Session 19-03.png,assets/world-anvil/screenshots/Session 19 - The Kobolds the Iruxi and the Trolls/Session 19-03.png,,
19,move,assets/world-anvil/screenshots/Session 19/Session 19-04.png,assets/world-anvil/screenshots/Session 19 - The Kobolds the Iruxi and the Trolls/Session 19-04.png,,
19,move,assets/world-anvil/screenshots/Session 19/Session 19-05.png,assets/world-anvil/screenshots/Session 19 - The Kobolds the Iruxi and the Trolls/Session 19-05.png,,
