status,session,source,destination,duplicate_of,sha256,note
move,Session 10,assets/world-anvil/screenshots-originals/Session 10/Session 10-01.webp,assets/world-anvil/screenshots/Session 10/Session 10-01.webp,,71b4012259b532825f3bdfbc48365972a73e73c43261fb270c70447fca3ba0bd,
move,Session 10,assets/world-anvil/screenshots-originals/Session 10/Session 10-02.webp,assets/world-anvil/screenshots/Session 10/Session 10-02.webp,,9c8135bd6752ba783628aa40077874cd7f352ee6f0d75284bb459f4a1a04754d,
move,Session 10,assets/world-anvil/screenshots-originals/Session 10/Session 10-03.webp,assets/world-anvil/screenshots/Session 10/Session 10-03.webp,,fff3940a94264e42befa4599801180d1c9e3cbcb566042a35f630ec944734142,
move,Session 10,assets/world-anvil/screenshots-originals/Session 10/Session 10-04.webp,assets/world-anvil/screenshots/Session 10/Session 10-04.webp,,12594e0259738cd93dc34710544cf6d402f10fe493102656899f77f7382d4aa7,
move,Session 10,assets/world-anvil/screenshots-originals/Session 10/Session 10-05.webp,assets/world-anvil/screenshots/Session 10/Session 10-05.webp,,56982198f0f70e07d23dac8c450d74ba780039b1f422f75ca3aaba00063a5c88,
move,Session 10,assets/world-anvil/screenshots-originals/Session 10/Session 10-06.webp,assets/world-anvil/screenshots/Session 10/Session 10-06.webp,,38d5c4a2bc60bd5ac23a51e565cd7eb26cda88ad392a7001824161d37907ee78,
move,Session 10,assets/world-anvil/screenshots-originals/Session 10/Session 10-07.webp,assets/world-anvil/screenshots/Session 10/Session 10-07.webp,,bfcf64d77bc18040e419fe33729fad1a3ff52ddd096650d4dab5740e479429d3,
move,Session 11,assets/world-anvil/screenshots-originals/Session 11/Session 11-01.webp,assets/world-anvil/screenshots/Session 11/Session 11-01.webp,,b99a26bae92543dcb1a2aed16106f7d684534c5c7c352f9d5f580f9f7cdc93d0,
move,Session 11,assets/world-anvil/screenshots-originals/Session 11/Session 11-02.webp,assets/world-anvil/screenshots/Session 11/Session 11-02.webp,,7741cb373d572fab054717b877451f201c5cf4b204af7b159ec83634e6b77632,
move,Session 11,assets/world-anvil/screenshots-originals/Session 11/Session 11-03.webp,assets/world-anvil/screenshots/Session 11/Session 11-03.webp,,f4c577f5caecb91c2229a91ca688674e74766d0bdc848a690f9d54dbe0e00aa4,
move,Session 11,assets/world-anvil/screenshots-originals/Session 11/Session 11-04.webp,assets/world-anvil/screenshots/Session 11/Session 11-04.webp,,f1d0ba45bd3fd670946b0b7bbcb972fcc149ec479835bb12f61e311af783d832,
move,Session 11,assets/world-anvil/screenshots-originals/Session 11/Session 11-05.webp,assets/world-anvil/screenshots/Session 11/Session 11-05.webp,,38fda5b66b33857eabf943235c4769704a7f50e267ea06937a04f365f8737a0d,
move,Session 11,assets/world-anvil/screenshots-originals/Session 11/Session 11-06.webp,assets/world-anvil/screenshots/Session 11/Session 11-06.webp,,d90e493d1e7bea1d3dc0e1407d7dbf3c52ccbb73573253bb494021533a5ffa47,
move,Session 11,assets/world-anvil/screenshots-originals/Session 11/Session 11-07.webp,assets/world-anvil/screenshots/Session 11/Session 11-07.webp,,599fc208f2d466355d3cd1427e13241f44488775f660ee8ac7ea032840f3b24b,
move,Session 11,assets/world-anvil/screenshots-originals/Session 11/Session 11-08.webp,assets/world-anvil/screenshots/Session 11/Session 11-08.webp,,2ac1b2f0cfedad5b04fa64c68cfd0dd6bfbe67d2054cf7b5f3a4cf14a5dc551d,
move,Session 11,assets/world-anvil/screenshots-originals/Session 11/Session 11-09.webp,assets/world-anvil/screenshots/Session 11/Session 11-09.webp,,765b54692a69cab3b6e5cd0279838e8520eaae18f5ca20fa64ab3de800dac2a5,
move,Session 11,assets/world-anvil/screenshots-originals/Session 11/Session 11-10.webp,assets/world-anvil/screenshots/Session 11/Session 11-10.webp,,59ea90745571f845e219830ece59756bcfa28dfa3d393c9e070a9a4b957d1419,
move,Session 11,assets/world-anvil/screenshots-originals/Session 11/Session 11-11.webp,assets/world-anvil/screenshots/Session 11/Session 11-11.webp,,7fdc3221da70ac7b74b341f614fd91c5df41b16bd32c582fe7a37cfa9bb64c1d,
move,Session 11,assets/world-anvil/screenshots-originals/Session 11/Session 11-12.webp,assets/world-anvil/screenshots/Session 11/Session 11-12.webp,,a817b5ee40c7a002ab32e2e62894054651cf59f06f6813bd08bacc670f8ae241,
move,Session 11,assets/world-anvil/screenshots-originals/Session 11/Session 11-13.webp,assets/world-anvil/screenshots/Session 11/Session 11-13.webp,,da5efd24bc1f4a61ea14c108cce041f29827189f3c6795844e1ca7c77a56156e,
move,Session 11,assets/world-anvil/screenshots-originals/Session 11/Session 11-14.webp,assets/world-anvil/screenshots/Session 11/Session 11-14.webp,,8254d7ff031dfe8be6ad102fc00504488719ddcfee8262a10b356e63758fe594,
move,Session 11,assets/world-anvil/screenshots-originals/Session 11/Session 11-15.webp,assets/world-anvil/screenshots/Session 11/Session 11-15.webp,,0b2faaa7244dd83d714629144e3df2f8f94110ef6b7b6d9bee923b11fe3d6bc7,
move,Session 11,assets/world-anvil/screenshots-originals/Session 11/Session 11-16.webp,assets/world-anvil/screenshots/Session 11/Session 11-16.webp,,442ace3827f33d0b8d2a19d49c0d7637d33dc78a7e8d3b02355085b25050d0b5,
move,Session 11,assets/world-anvil/screenshots-originals/Session 11/Session 11-17.webp,assets/world-anvil/screenshots/Session 11/Session 11-17.webp,,d2b3036d1b1a1d951e1c4f3ffba4994fb96afd8cc36e91e0e708f87ad8239398,
move,Session 11,assets/world-anvil/screenshots-originals/Session 11/Session 11-18.webp,assets/world-anvil/screenshots/Session 11/Session 11-18.webp,,5d76f1937d5ce08f142e5d4312a0dcb21d05643ee89574f45521725ff73ef8c2,
move,Session 11,assets/world-anvil/screenshots-originals/Session 11/Session 11-19.webp,assets/world-anvil/screenshots/Session 11/Session 11-19.webp,,fef9988e1dbe12f109690a13ae7998cf0cf6a0e48a5475b7db2e041521635369,
move,Session 11,assets/world-anvil/screenshots-originals/Session 11/Session 11-20.webp,assets/world-anvil/screenshots/Session 11/Session 11-20.webp,,5bf0756bb4b792c44ad41409c202ec766d58feb88b61ed6a90c1c5449f42e870,
move,Session 12,assets/world-anvil/screenshots-originals/Session 12/Session 12-01.webp,assets/world-anvil/screenshots/Session 12/Session 12-01.webp,,0cfc07a9d6858d7986bbb31f069a289f96f39c68bc806c2a682bb39ceef8ed1a,
move,Session 12,assets/world-anvil/screenshots-originals/Session 12/Session 12-02.webp,assets/world-anvil/screenshots/Session 12/Session 12-02.webp,,302b713aba9900c940477acc061506faeda34995bf8f17f58a04750bd07b1c39,
move,Session 12,assets/world-anvil/screenshots-originals/Session 12/Session 12-03.webp,assets/world-anvil/screenshots/Session 12/Session 12-03.webp,,b07532b4fbcdc413bc74ccea504d66a21345f1caba2ce0e0108d1f97437ad915,
move,Session 12,assets/world-anvil/screenshots-originals/Session 12/Session 12-04.webp,assets/world-anvil/screenshots/Session 12/Session 12-04.webp,,a1d47cbb6216c5ef93803d8adaed7dc72927f9be6d3c1e912b9ca6b685cf733e,
