old_path,new_path,original_bytes,webp_bytes,saved_bytes,status,error
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-21.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-21.webp,7328159,242812,7085347,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-22.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-22.webp,8130855,280782,7850073,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-23.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-23.webp,8537555,322140,8215415,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-24.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-24.webp,8140608,285786,7854822,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-25.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-25.webp,6989832,208318,6781514,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-26.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-26.webp,8233561,307520,7926041,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-27.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-27.webp,9046587,405518,8641069,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-28.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-28.webp,8283193,308252,7974941,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-29.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-29.webp,6744496,185076,6559420,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-30.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-30.webp,7674029,246554,7427475,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-31.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-31.webp,8688048,345138,8342910,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-32.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-32.webp,6547736,213852,6333884,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-33.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-33.webp,8576765,340606,8236159,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-34.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-34.webp,7867548,269540,7598008,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-35.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-35.webp,8564578,364530,8200048,converted,
